Geo Code,Geo Name,Line Number
"35020480155","35020155",878579
"35020480156","35020156",880826
"35020480157","35020157",883073
"35020480158","35020158",885320
"35020480159","35020159",887567
"35020480160","35020160",889814
"35020480161","35020161",892061
"35020480162","35020162",894308
"35020480163","35020163",896555
"35020480164","35020164",898802
"35020480165","35020165",901049
"35020480166","35020166",903296
"35020480207","35020207",905543
"35020480208","35020208",907790
"3506","Ottawa",910037
"3506008","Ottawa",912284
"35060080001","35060001",914531
"35060080002","35060002",916778
"35060080003","35060003",919025
"35060080005","35060005",921272
"35060080006","35060006",923519
"35060080007","35060007",925766
"35060080010","35060010",928013
"35060080011","35060011",930260
"35060080012","35060012",932507
"35060080014","35060014",934754
"35060080015","35060015",937001
"35060080016","35060016",939248
"35060080017","35060017",941495
"35060080018","35060018",943742
"35060080019","35060019",945989
"35060080020","35060020",948236
"35060080021","35060021",950483
"35060080022","35060022",952730
"35060080023","35060023",954977
"35060080024","35060024",957224
"35060080025","35060025",959471
"35060080026","35060026",961718
"35060080027","35060027",963965
"35060080028","35060028",966212
"35060080029","35060029",968459
"35060080030","35060030",970706
"35060080031","35060031",972953
"35060080032","35060032",975200
"35060080033","35060033",977447
"35060080034","35060034",979694
"35060080035","35060035",981941
"35060080036","35060036",984188
"35060080037","35060037",986435
"35060080038","35060038",988682
"35060080039","35060039",990929
"35060080043","35060043",993176
"35060080044","35060044",995423
"35060080045","35060045",997670
"35060080047","35060047",999917
"35060080048","35060048",1002164
"35060080049","35060049",1004411
"35060080050","35060050",1006658
"35060080051","35060051",1008905
"35060080052","35060052",1011152
"35060080053","35060053",1013399
"35060080054","35060054",1015646
"35060080055","35060055",1017893
"35060080056","35060056",1020140
"35060080057","35060057",1022387
"35060080058","35060058",1024634
"35060080059","35060059",1026881
"35060080061","35060061",1029128
"35060080062","35060062",1031375
"35060080064","35060064",1033622
"35060080065","35060065",1035869
"35060080066","35060066",1038116
"35060080067","35060067",1040363
"35060080069","35060069",1042610
"35060080070","35060070",1044857
"35060080071","35060071",1047104
"35060080072","35060072",1049351
"35060080073","35060073",1051598
"35060080074","35060074",1053845
"35060080075","35060075",1056092
"35060080076","35060076",1058339
"35060080078","35060078",1060586
"35060080079","35060079",1062833
"35060080080","35060080",1065080
"35060080081","35060081",1067327
"35060080082","35060082",1069574
"35060080083","35060083",1071821
"35060080089","35060089",1074068
"35060080090","35060090",1076315
"35060080091","35060091",1078562
"35060080092","35060092",1080809
"35060080093","35060093",1083056
"35060080094","35060094",1085303
"35060080095","35060095",1087550
"35060080096","35060096",1089797
"35060080097","35060097",1092044
"35060080098","35060098",1094291
"35060080099","35060099",1096538
"35060080100","35060100",1098785
"35060080101","35060101",1101032
"35060080102","35060102",1103279
"35060080103","35060103",1105526
"35060080104","35060104",1107773
"35060080105","35060105",1110020
"35060080106","35060106",1112267
"35060080107","35060107",1114514
"35060080108","35060108",1116761
"35060080109","35060109",1119008
"35060080110","35060110",1121255
"35060080111","35060111",1123502
"35060080112","35060112",1125749
"35060080116","35060116",1127996
"35060080117","35060117",1130243
"35060080118","35060118",1132490
"35060080119","35060119",1134737
"35060080120","35060120",1136984
"35060080121","35060121",1139231
"35060080122","35060122",1141478
"35060080123","35060123",1143725
"35060080124","35060124",1145972
"35060080125","35060125",1148219
"35060080126","35060126",1150466
"35060080127","35060127",1152713
"35060080128","35060128",1154960
"35060080129","35060129",1157207
"35060080132","35060132",1159454
"35060080133","35060133",1161701
"35060080134","35060134",1163948
"35060080135","35060135",1166195
"35060080137","35060137",1168442
"35060080138","35060138",1170689
"35060080139","35060139",1172936
"35060080140","35060140",1175183
"35060080141","35060141",1177430
"35060080143","35060143",1179677
"35060080144","35060144",1181924
"35060080145","35060145",1184171
"35060080146","35060146",1186418
"35060080147","35060147",1188665
"35060080148","35060148",1190912
"35060080149","35060149",1193159
"35060080150","35060150",1195406
"35060080151","35060151",1197653
"35060080152","35060152",1199900
"35060080153","35060153",1202147
"35060080154","35060154",1204394
"35060080155","35060155",1206641
"35060080156","35060156",1208888
"35060080157","35060157",1211135
"35060080159","35060159",1213382
"35060080163","35060163",1215629
"35060080164","35060164",1217876
"35060080165","35060165",1220123
"35060080166","35060166",1222370
"35060080167","35060167",1224617
"35060080168","35060168",1226864
"35060080170","35060170",1229111
"35060080171","35060171",1231358
"35060080172","35060172",1233605
"35060080173","35060173",1235852
"35060080178","35060178",1238099
"35060080179","35060179",1240346
"35060080180","35060180",1242593
"35060080181","35060181",1244840
"35060080182","35060182",1247087
"35060080183","35060183",1249334
"35060080184","35060184",1251581
"35060080185","35060185",1253828
"35060080186","35060186",1256075
"35060080187","35060187",1258322
"35060080188","35060188",1260569
"35060080189","35060189",1262816
"35060080192","35060192",1265063
"35060080194","35060194",1267310
"35060080195","35060195",1269557
"35060080196","35060196",1271804
"35060080197","35060197",1274051
"35060080198","35060198",1276298
"35060080199","35060199",1278545
"35060080200","35060200",1280792
"35060080201","35060201",1283039
"35060080202","35060202",1285286
"35060080205","35060205",1287533
"35060080206","35060206",1289780
"35060080207","35060207",1292027
"35060080208","35060208",1294274
"35060080209","35060209",1296521
"35060080210","35060210",1298768
"35060080211","35060211",1301015
"35060080213","35060213",1303262
"35060080219","35060219",1305509
"35060080220","35060220",1307756
"35060080221","35060221",1310003
"35060080222","35060222",1312250
"35060080223","35060223",1314497
"35060080224","35060224",1316744
"35060080225","35060225",1318991
"35060080226","35060226",1321238
"35060080227","35060227",1323485
"35060080228","35060228",1325732
"35060080229","35060229",1327979
"35060080230","35060230",1330226
"35060080231","35060231",1332473
"35060080232","35060232",1334720
"35060080233","35060233",1336967
"35060080234","35060234",1339214
"35060080236","35060236",1341461
"35060080237","35060237",1343708
"35060080243","35060243",1345955
"35060080246","35060246",1348202
"35060080249","35060249",1350449
"35060080251","35060251",1352696
"35060080252","35060252",1354943
